Last tracked,,Type,Reg Year,Emission Class,Livery,Name,Previous reg,Special features
6430,GN04 UEX,190,4,EURO III,21 Jan 17:47,Volvo B7TL Alexander ALX400,Arriva Interurban,
6431,GN04 UEY,132,4,EURO III,15:34,Volvo B7TL Alexander ALX400,Arriva Interurban,
6432,GN04 UEZ,402,4,EURO III,20 Jan 9:26,Volvo B7TL Alexander ALX400,Arriva Interurban,
6438,GN04 UFG,71,4,EURO III,10:28,Volvo B7TL Alexander ALX400,Arriva Interurban,
6439,GN04 UFH,12,4,EURO III,21 Jan 17:30,Volvo B7TL Alexander ALX400,Arriva Interurban,
6440,GN04 UFJ,133,4,EURO III,21 Jan 19:10,Volvo B7TL Alexander ALX400,Arriva Interurban,
6441,GN04 UFK,177,4,EURO III,21 Jan 22:12,Volvo B7TL Alexander ALX400,Arriva Interurban,
6442,GN04 UFL,166,4,EURO III,21 Jan 15:20,Volvo B7TL Alexander ALX400,Arriva Interurban,
6444,GN04 UFP,531,4,EURO III,20 Jan 16:00,Volvo B7TL Alexander ALX400,Arriva Interurban,
6445,GN04 UFR,771,4,EURO III,20 Jan 15:50,Volvo B7TL Alexander ALX400,Arriva Interurban,
6446,GN04 UFS,133,4,EURO III,21 Jan 17:45,Volvo B7TL Alexander ALX400,Arriva Interurban,
6447,GN04 UFT,82,4,EURO III,21 Jan 18:33,Volvo B7TL Alexander ALX400,Arriva Interurban,
6448,GN04 UFU,642,4,EURO III,20 Jan 7:20,Volvo B7TL Alexander ALX400,Arriva Interurban,
6449,GN04 UFV,7,4,EURO III,21 Jan 19:55,Volvo B7TL Alexander ALX400,Arriva Interurban,
6471,SN58 EOA,101,58,EURO IV,13 Jan 8:48,ADL Enviro400,Arriva Journey Mark,
6472,SN58 EOB,101,58,EURO IV,16:42,ADL Enviro400,Arriva Journey Mark,
6473,YY14 WFV,700,14,EURO VI,16:00,ADL Enviro400,Arriva Journey Mark,
6474,YY14 WFW,101,14,EURO VI,15:57,ADL Enviro400,Arriva Journey Mark,
6475,YY14 WFX,101,14,EURO VI,15:22,ADL Enviro400,Arriva Journey Mark,
6476,YY14 WFZ,101,14,EURO VI,16:02,ADL Enviro400,Arriva Journey Mark,
6477,YY14 WGA,101,14,EURO VI,21 Jan 15:14,ADL Enviro400,Arriva Journey Mark,
6478,YY14 WGC,101,14,EURO VI,12:17,ADL Enviro400,Arriva Journey Mark,
6479,SN15 LNJ,101,15,EURO VI,21 Jan 17:14,ADL Enviro400,Arriva Journey Mark,
6480,SN15 LNK,101,15,EURO VI,19 Jan 17:44,ADL Enviro400,Arriva Journey Mark,
6481,SN15 LNM,101,15,EURO VI,16:17,ADL Enviro400,Arriva Journey Mark,
6482,SN15 LNO,177,15,EURO VI,4 Aug 22:10,ADL Enviro400,Arriva Journey Mark,
6483,SN15 LNP,101,15,EURO VI,21 Jan 17:02,ADL Enviro400,Arriva Journey Mark,
6484,SN15 LNR,101,15,EURO VI,21 Jan 18:29,ADL Enviro400,Arriva Journey Mark,
6493,YY16 YLD,71,16,EURO VI,21 Jan 18:30,ADL Enviro400 MMC,Arriva Journey Mark,
6500,SN66 WHT,7,66,EURO VI,12:46,ADL Enviro400 MMC,Arriva Journey Mark,
6501,SN66 WHU,7,66,EURO VI,15:20,ADL Enviro400 MMC,Arriva Journey Mark,
6516,SN66 WJO,12,66,EURO VI,16:28,ADL Enviro400 MMC,Arriva Journey Mark,Alessia Russo
6520,YX17 NEN,7,17,EURO VI,13:50,ADL Enviro400 MMC,Arriva Journey Mark,
6521,YX17 NEO,575,17,EURO VI,19 Jan 7:25,ADL Enviro400 MMC,Arriva Journey Mark,
6522,YX17 NEU,71,17,EURO VI,16:28,ADL Enviro400 MMC,Arriva Journey Mark,
6528,YX17 NFF,101,17,EURO VI,16:22,ADL Enviro400 MMC,Maidstone & District Motor Services,
