,LineRef,OriginName,DestinationName,OriginAimedDepartureTime,VehicleRef,VehicleLocation.Longitude,VehicleLocation.Latitude
7536,182,Waterfront_Bus_Station,Beechings_Green,2022-10-12T14:39:00+00:00,4264,0.543744,51.389065
7537,176,Plantation_Road,Village_Centre,2022-10-12T14:23:00+00:00,4290,0.540178,51.376911
7538,176,Plantation_Road,Village_Centre,2022-10-12T15:03:00+00:00,6446,0.570813,51.387718
7540,101,Pudding_Lane,Duncan_Road,2022-10-12T14:36:00+00:00,6483,0.507816,51.347136
7541,3,Chequers_Bus_Station,Maidstone_Hospital,2022-10-12T14:46:00+00:00,4282,0.517986,51.271623
7544,141,Waterfront_Bus_Station,Bligh_Way_Shops,,4309,0.524188,51.38473
7545,12,The_Vine,Royal_Star_Arcade,2022-10-12T13:58:00+00:00,6406,0.57252,51.239821
7546,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:30:00+00:00,6421,0.583705,51.368323
7548,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:50:00+00:00,4314,0.547463,51.328463
7549,71,Chequers_Bus_Station,Railway_Station,2022-10-12T14:10:00+00:00,6149,0.432548,51.312108
7550,71,Chequers_Bus_Station,Railway_Station,2022-10-12T14:50:00+00:00,4469,0.51949,51.272433
7551,85,Freeman_Way,Chequers_Bus_Station,2022-10-12T14:53:00+00:00,4120,0.554828,51.253385
7552,3,Maidstone_Hospital,Chequers_Bus_Station,2022-10-12T14:40:00+00:00,4283,0.509961,51.27014
7553,334,Bus_Hub,Chequers_Bus_Station,2022-10-12T14:44:00+00:00,4065,0.711736,51.344188
7554,190,Gravesend_Railway_Station,Waterfront_Bus_Station,2022-10-12T15:05:00+00:00,4267,0.368005,51.44138
7555,166,The_Kestrel_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:40:00+00:00,1651,0.534636,51.35098
7556,191,Waterfront_Bus_Station,Lapwing_Road,2022-10-12T14:02:00+00:00,6410,0.630941,51.467721
7560,164,Waterfront_Bus_Station,Chatham_Grove,2022-10-12T14:50:00+00:00,4005,0.529833,51.381215
7561,1,Chatham_Railway_Station,The_Strand,2022-10-12T14:38:00+00:00,4051,0.53673,51.399938
7562,101,Pudding_Lane,Duncan_Road,2022-10-12T14:24:00+00:00,6475,0.522811,51.382151
7563,177,Village_Centre,Victoria_Street,2022-10-12T14:20:00+00:00,4263,0.524165,51.385065
7564,8,Chequers_Bus_Station,Maidstone_Hospital,2022-10-12T14:52:00+00:00,4464,0.52182,51.273421
7566,101,Duncan_Road,The_Cannon,2022-10-12T14:17:00+00:00,4311,0.52212,51.379821
7567,89,Spice_Lounge,King_Street,2022-10-12T14:49:00+00:00,4279,0.49638,51.232235
7568,7,Chequers_Bus_Station,Railway_Station,2022-10-12T14:25:00+00:00,6136,0.375226,51.25809
7573,191,Lapwing_Road,Waterfront_Bus_Station,2022-10-12T14:04:00+00:00,6476,0.562618,51.423153
7579,166,Waterfront_Bus_Station,The_Kestrel_Shopping_Centre,2022-10-12T14:45:00+00:00,4270,0.541766,51.373543
7580,176,Village_Centre,Plantation_Road,2022-10-12T14:12:00+00:00,4281,0.543411,51.379398
7582,700,Waterfront_Bus_Station,Bus_Station,2022-10-12T14:37:00+00:00,4299,0.489136,51.392596
7583,116,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T13:51:00+00:00,4300,0.52644,51.390875
7584,190,Waterfront_Bus_Station,Gravesend_Railway_Station,2022-10-12T14:32:00+00:00,4318,0.481886,51.400028
7585,71,Lunsford_Park_Tesco,Chequers_Bus_Station,2022-10-12T14:29:00+00:00,6148,0.508293,51.276976
7586,72,Asda,Chequers_Bus_Station,2022-10-12T14:28:00+00:00,6438,0.43698,51.293265
7587,71,Railway_Station,Chequers_Bus_Station,2022-10-12T14:30:00+00:00,6447,0.437506,51.300321
7589,177,King_Street,Village_Centre,2022-10-12T14:48:00+00:00,4291,0.543528,51.379476
7590,155,Waterfront_Bus_Station,Village_Surgery,2022-10-12T14:33:00+00:00,4272,0.480246,51.37192
7591,177,King_Street,Village_Centre,2022-10-12T14:24:00+00:00,4312,0.530618,51.38008
7592,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:41:00+00:00,4293,0.598018,51.348013
7593,9,Chequers_Bus_Station,Tesco,2022-10-12T14:53:00+00:00,6522,0.527745,51.273685
7594,1,The_Strand,Chatham_Railway_Station,2022-10-12T14:46:00+00:00,1653,0.533528,51.401816
7595,145,The_George,Waterfront_Bus_Station,2022-10-12T14:53:00+00:00,4006,0.509391,51.368085
7596,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T14:38:00+00:00,1655,0.548351,51.386948
