Last tracked,,Type,Livery,Name,Previous reg,Special features,,
6151,UUI 2906,7,14:31,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBN,
6152,UUI 2909,82,15:58,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,LJ51 DGV,
6154,UUI 2949,72,17 Oct 12:30,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,LJ51 DFZ,
6200,FJ08 LVL,77X,15:54,Volvo B9TL Wright Eclipse Gemini,Arriva Journey Mark,,,USB power
6203,FJ08 LVT,6X,15:30,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,Ken D'Souza,,"USB power, power sockets"
6204,FJ58 KXF,402A,15:42,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire,,,"power sockets, USB power"
6205,FJ58 KXG,403,15:48,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,,,"power sockets, USB power"
6237,YJ57 BKD,402B,15:50,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,,,
6238,YJ57 BKE,402,15:15,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,,,
6260,FD02 UKS,402,1 Dec 18:20,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,,,
6301,LJ11 AEC,771,15:50,VDL DB300 Wright Gemini 2,Arriva Journey Mark,,,
6305,LJ11 AEG,774,15:45,VDL DB300 Wright Gemini 2,Arriva London Cowhorn,,,
6401,GN04 UDM,633,15:35,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6402,GN04 UDP,133,15:48,Volvo B7TL Alexander ALX400,Arriva Journey Mark,,,
6404,GN04 UDT,6,15:05,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6405,GN04 UDU,653,1 Dec 14:23,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
